Start_Station,End_Station,Distance_km,Fare_INR
Challaghatta,Challaghatta,0.0,10
Challaghatta,Kengeri Bus Terminal,1.2,10
Challaghatta,Kengeri,2.4,20
Challaghatta,Pattanagere,3.6,20
Challaghatta,Jnanabharathi,4.8,20
Challaghatta,Rajarajeshwari Nagar,6.0,30
Challaghatta,RR Nagar,7.2,30
Challaghatta,Nayandahalli,8.4,30
Challaghatta,Pantharapalya – Nayandahalli,9.6,30
Challaghatta,Mysuru Road,10.8,40
Challaghatta,Deepanjali Nagar,12.0,40
Challaghatta,Attiguppe,13.2,40
Challaghatta,Vijayanagar,14.4,40
Challaghatta,Hosahalli,15.6,50
Challaghatta,"Sri Balagangadharanatha Swamiji Station, Hosahalli",16.8,50
Challaghatta,Magadi Road,18.0,50
Challaghatta,Krantiveera Sangolli Rayanna Railway Station,19.2,50
Challaghatta,Majestic (Nadaprabhu Kempegowda),20.4,60
Challaghatta,Sir M. Visvesvaraya,21.6,60
Challaghatta,Vidhana Soudha,22.8,60
Challaghatta,Cubbon Park,24.0,60
Challaghatta,Mahatma Gandhi Road,25.2,90
Challaghatta,Trinity,26.4,90
Challaghatta,Halasuru,27.6,90
Challaghatta,Indiranagar,28.8,90
Challaghatta,Swami Vivekananda Road,30.0,90
Challaghatta,Baiyyappanahalli,31.2,90
Challaghatta,Bennigana Halli,32.4,90
Challaghatta,Krishnarajapura,33.6,90
Challaghatta,Singayyanapalya,34.8,90
Challaghatta,Garudacharpalya,36.0,90
Challaghatta,Hoodi,37.2,90
Challaghatta,Seetharamapalya,38.4,90
Challaghatta,Kundalahalli,39.6,90
Challaghatta,Nallurhalli,40.8,90
Challaghatta,Sri Sathya Sai Hospital,42.0,90
Challaghatta,Pattandur Agrahara,43.2,90
Challaghatta,Kadugodi Tree Park,44.4,90
Challaghatta,Channasandra,45.6,90
Challaghatta,Whitefield (Kadugodi),46.8,90
Challaghatta,Madavara,39.6,90
Challaghatta,Chikkabidarakallu,38.4,90
Challaghatta,Manjunath Nagar,37.2,90
Challaghatta,Nagasandra,36.0,90
Challaghatta,Dasarahalli,34.8,90
Challaghatta,Jalahalli,33.6,90
Challaghatta,Peenya Industry,32.4,90
Challaghatta,Peenya,31.2,90
Challaghatta,Goraguntepalya,30.0,90
Challaghatta,Yeshwanthpur,28.8,90
Challaghatta,Sandal Soap Factory,27.6,90
Challaghatta,Mahalakshmi,26.4,90
Challaghatta,Rajajinagar,25.2,90
Challaghatta,Kuvempu Road,24.0,60
Challaghatta,Srirampura,22.8,60
Challaghatta,Mantri Square Sampige Road,21.6,60
Challaghatta,Chickpete,21.6,60
Challaghatta,Krishna Rajendra Market,22.8,60
Challaghatta,National College,24.0,60
Challaghatta,Lalbagh,25.2,90
Challaghatta,South End Circle,26.4,90
Challaghatta,Jayanagar,27.6,90
Challaghatta,Rashtriya Vidyalaya Road,28.8,90
Challaghatta,Banashankari,30.0,90
Challaghatta,Jayaprakash Nagar,31.2,90
Challaghatta,Yelachenahalli,32.4,90
Challaghatta,Konanakunte Cross,33.6,90
Challaghatta,Doddakallasandra,34.8,90
Challaghatta,Vajarahalli,36.0,90
Challaghatta,Thalaghattapura,37.2,90
Challaghatta,Silk Institute,38.4,90
Challaghatta,Ragigudda,30.0,90
Challaghatta,Jayadeva Hospital,31.2,90
Challaghatta,BTM Layout,32.4,90
Challaghatta,Central Silk Board,33.6,90
Challaghatta,Bommanahalli,34.8,90
Challaghatta,Hongasandra,36.0,90
Challaghatta,Kudlu Gate,37.2,90
Challaghatta,Singasandra,38.4,90
Challaghatta,Hosa Road,39.6,90
Challaghatta,Beratena Agrahara,40.8,90
Challaghatta,Electronic City,42.0,90
Challaghatta,Infosys Foundation Konappana Agrahara,43.2,90
Challaghatta,Huskur Road,44.4,90
Challaghatta,Biocon Hebbagodi,45.6,90
Challaghatta,Delta Electronics Bommasandra,46.8,90
Challaghatta,Bommasandra,48.0,90
Kengeri Bus Terminal,Challaghatta,1.2,10
Kengeri Bus Terminal,Kengeri Bus Terminal,0.0,10
Kengeri Bus Terminal,Kengeri,1.2,10
Kengeri Bus Terminal,Pattanagere,2.4,20
Kengeri Bus Terminal,Jnanabharathi,3.6,20
Kengeri Bus Terminal,Rajarajeshwari Nagar,4.8,20
Kengeri Bus Terminal,RR Nagar,6.0,30
Kengeri Bus Terminal,Nayandahalli,7.2,30
Kengeri Bus Terminal,Pantharapalya – Nayandahalli,8.4,30
Kengeri Bus Terminal,Mysuru Road,9.6,30
Kengeri Bus Terminal,Deepanjali Nagar,10.8,40
Kengeri Bus Terminal,Attiguppe,12.0,40
Kengeri Bus Terminal,Vijayanagar,13.2,40
Kengeri Bus Terminal,Hosahalli,14.4,40
Kengeri Bus Terminal,"Sri Balagangadharanatha Swamiji Station, Hosahalli",15.6,50
Kengeri Bus Terminal,Magadi Road,16.8,50
Kengeri Bus Terminal,Krantiveera Sangolli Rayanna Railway Station,18.0,50
Kengeri Bus Terminal,Majestic (Nadaprabhu Kempegowda),19.2,50
Kengeri Bus Terminal,Sir M. Visvesvaraya,20.4,60
Kengeri Bus Terminal,Vidhana Soudha,21.6,60
Kengeri Bus Terminal,Cubbon Park,22.8,60
Kengeri Bus Terminal,Mahatma Gandhi Road,24.0,60
Kengeri Bus Terminal,Trinity,25.2,90
Kengeri Bus Terminal,Halasuru,26.4,90
Kengeri Bus Terminal,Indiranagar,27.6,90
Kengeri Bus Terminal,Swami Vivekananda Road,28.8,90
Kengeri Bus Terminal,Baiyyappanahalli,30.0,90
Kengeri Bus Terminal,Bennigana Halli,31.2,90
Kengeri Bus Terminal,Krishnarajapura,32.4,90
Kengeri Bus Terminal,Singayyanapalya,33.6,90
Kengeri Bus Terminal,Garudacharpalya,34.8,90
Kengeri Bus Terminal,Hoodi,36.0,90
Kengeri Bus Terminal,Seetharamapalya,37.2,90
Kengeri Bus Terminal,Kundalahalli,38.4,90
Kengeri Bus Terminal,Nallurhalli,39.6,90
Kengeri Bus Terminal,Sri Sathya Sai Hospital,40.8,90
Kengeri Bus Terminal,Pattandur Agrahara,42.0,90
Kengeri Bus Terminal,Kadugodi Tree Park,43.2,90
Kengeri Bus Terminal,Channasandra,44.4,90
Kengeri Bus Terminal,Whitefield (Kadugodi),45.6,90
Kengeri Bus Terminal,Madavara,38.4,90
Kengeri Bus Terminal,Chikkabidarakallu,37.2,90
Kengeri Bus Terminal,Manjunath Nagar,36.0,90
Kengeri Bus Terminal,Nagasandra,34.8,90
Kengeri Bus Terminal,Dasarahalli,33.6,90
Kengeri Bus Terminal,Jalahalli,32.4,90
Kengeri Bus Terminal,Peenya Industry,31.2,90
Kengeri Bus Terminal,Peenya,30.0,90
Kengeri Bus Terminal,Goraguntepalya,28.8,90
Kengeri Bus Terminal,Yeshwanthpur,27.6,90
Kengeri Bus Terminal,Sandal Soap Factory,26.4,90
Kengeri Bus Terminal,Mahalakshmi,25.2,90
Kengeri Bus Terminal,Rajajinagar,24.0,60
Kengeri Bus Terminal,Kuvempu Road,22.8,60
Kengeri Bus Terminal,Srirampura,21.6,60
Kengeri Bus Terminal,Mantri Square Sampige Road,20.4,60
Kengeri Bus Terminal,Chickpete,20.4,60
Kengeri Bus Terminal,Krishna Rajendra Market,21.6,60
Kengeri Bus Terminal,National College,22.8,60
Kengeri Bus Terminal,Lalbagh,24.0,60
Kengeri Bus Terminal,South End Circle,25.2,90
Kengeri Bus Terminal,Jayanagar,26.4,90
Kengeri Bus Terminal,Rashtriya Vidyalaya Road,27.6,90
Kengeri Bus Terminal,Banashankari,28.8,90
Kengeri Bus Terminal,Jayaprakash Nagar,30.0,90
Kengeri Bus Terminal,Yelachenahalli,31.2,90
Kengeri Bus Terminal,Konanakunte Cross,32.4,90
Kengeri Bus Terminal,Doddakallasandra,33.6,90
Kengeri Bus Terminal,Vajarahalli,34.8,90
Kengeri Bus Terminal,Thalaghattapura,36.0,90
Kengeri Bus Terminal,Silk Institute,37.2,90
Kengeri Bus Terminal,Ragigudda,28.8,90
Kengeri Bus Terminal,Jayadeva Hospital,30.0,90
Kengeri Bus Terminal,BTM Layout,31.2,90
Kengeri Bus Terminal,Central Silk Board,32.4,90
Kengeri Bus Terminal,Bommanahalli,33.6,90
Kengeri Bus Terminal,Hongasandra,34.8,90
Kengeri Bus Terminal,Kudlu Gate,36.0,90
Kengeri Bus Terminal,Singasandra,37.2,90
Kengeri Bus Terminal,Hosa Road,38.4,90
Kengeri Bus Terminal,Beratena Agrahara,39.6,90
Kengeri Bus Terminal,Electronic City,40.8,90
Kengeri Bus Terminal,Infosys Foundation Konappana Agrahara,42.0,90
Kengeri Bus Terminal,Huskur Road,43.2,90
Kengeri Bus Terminal,Biocon Hebbagodi,44.4,90
Kengeri Bus Terminal,Delta Electronics Bommasandra,45.6,90
Kengeri Bus Terminal,Bommasandra,46.8,90
Kengeri,Challaghatta,2.4,20
Kengeri,Kengeri Bus Terminal,1.2,10
Kengeri,Kengeri,0.0,10
Kengeri,Pattanagere,1.2,10
Kengeri,Jnanabharathi,2.4,20
Kengeri,Rajarajeshwari Nagar,3.6,20
Kengeri,RR Nagar,4.8,20
Kengeri,Nayandahalli,6.0,30
Kengeri,Pantharapalya – Nayandahalli,7.2,30
Kengeri,Mysuru Road,8.4,30
Kengeri,Deepanjali Nagar,9.6,30
Kengeri,Attiguppe,10.8,40
Kengeri,Vijayanagar,12.0,40
Kengeri,Hosahalli,13.2,40
Kengeri,"Sri Balagangadharanatha Swamiji Station, Hosahalli",14.4,40
Kengeri,Magadi Road,15.6,50
Kengeri,Krantiveera Sangolli Rayanna Railway Station,16.8,50
Kengeri,Majestic (Nadaprabhu Kempegowda),18.0,50
Kengeri,Sir M. Visvesvaraya,19.2,50
Kengeri,Vidhana Soudha,20.4,60
Kengeri,Cubbon Park,21.6,60
Kengeri,Mahatma Gandhi Road,22.8,60
Kengeri,Trinity,24.0,60
Kengeri,Halasuru,25.2,90
Kengeri,Indiranagar,26.4,90
Kengeri,Swami Vivekananda Road,27.6,90
Kengeri,Baiyyappanahalli,28.8,90
Kengeri,Bennigana Halli,30.0,90
Kengeri,Krishnarajapura,31.2,90
Kengeri,Singayyanapalya,32.4,90
Kengeri,Garudacharpalya,33.6,90
Kengeri,Hoodi,34.8,90
Kengeri,Seetharamapalya,36.0,90
Kengeri,Kundalahalli,37.2,90
Kengeri,Nallurhalli,38.4,90
Kengeri,Sri Sathya Sai Hospital,39.6,90
Kengeri,Pattandur Agrahara,40.8,90
Kengeri,Kadugodi Tree Park,42.0,90
Kengeri,Channasandra,43.2,90
Kengeri,Whitefield (Kadugodi),44.4,90
Kengeri,Madavara,37.2,90
Kengeri,Chikkabidarakallu,36.0,90
Kengeri,Manjunath Nagar,34.8,90
Kengeri,Nagasandra,33.6,90
Kengeri,Dasarahalli,32.4,90
Kengeri,Jalahalli,31.2,90
Kengeri,Peenya Industry,30.0,90
Kengeri,Peenya,28.8,90
Kengeri,Goraguntepalya,27.6,90
Kengeri,Yeshwanthpur,26.4,90
Kengeri,Sandal Soap Factory,25.2,90
Kengeri,Mahalakshmi,24.0,60
Kengeri,Rajajinagar,22.8,60
Kengeri,Kuvempu Road,21.6,60
Kengeri,Srirampura,20.4,60
Kengeri,Mantri Square Sampige Road,19.2,50
Kengeri,Chickpete,19.2,50
Kengeri,Krishna Rajendra Market,20.4,60
Kengeri,National College,21.6,60
Kengeri,Lalbagh,22.8,60
Kengeri,South End Circle,24.0,60
Kengeri,Jayanagar,25.2,90
Kengeri,Rashtriya Vidyalaya Road,26.4,90
